columna,cantidad_nulos,porcentaje_nulos
veil-type,57892,94.79768786127167
spore-print-color,54715,89.59537572254335
veil-color,53656,87.86127167630057
stem-root,51538,84.39306358381504
stem-surface,38124,62.42774566473989
gill-spacing,25063,41.040462427745666
cap-surface,14120,23.121387283236995
gill-attachment,9884,16.184971098265898
ring-type,2471,4.046242774566474
cap-color,0,0.0
cap-shape,0,0.0
cap-diameter,0,0.0
class,0,0.0
stem-height,0,0.0
stem-width,0,0.0
does-bruise-or-bleed,0,0.0
gill-color,0,0.0
has-ring,0,0.0
stem-color,0,0.0
habitat,0,0.0
season,0,0.0
