class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
p,1.14,x,g,w,f,a,d,w,3.13,1.78,,,e,,,f,f,,d,u
p,1.14,x,g,w,f,a,d,w,3.13,1.78,,,e,,,f,f,,d,u
p,0.72,x,g,y,f,,,y,3.51,0.77,,,y,,,f,f,,d,u
p,0.72,x,g,y,f,,,y,3.51,0.77,,,y,,,f,f,,d,u
p,4.29,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.27,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.62,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,3.83,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.32,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.89,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.41,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,3.92,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.82,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.27,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.59,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.29,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,3.5,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.59,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.49,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,3.92,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.81,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.66,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.38,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.62,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.74,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,3.91,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.67,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,3.7,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.74,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.49,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,3.5,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,3.83,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.41,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.27,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.63,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.67,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.82,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.63,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,3.7,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
