columna,valor,cantidad
class,p,33888
class,e,27181
cap-shape,x,26934
cap-shape,f,13404
cap-shape,s,7164
cap-shape,b,5694
cap-shape,o,3460
cap-shape,p,2598
cap-shape,c,1815
cap-surface,,14120
cap-surface,t,8196
cap-surface,s,7608
cap-surface,y,6341
cap-surface,h,4974
cap-surface,g,4724
cap-surface,d,4432
cap-surface,e,2584
cap-surface,k,2303
cap-surface,i,2225
cap-surface,w,2150
cap-surface,l,1412
cap-color,n,24218
cap-color,y,8543
cap-color,w,7666
cap-color,g,4420
cap-color,e,4035
cap-color,o,3656
cap-color,r,1782
cap-color,u,1709
cap-color,p,1703
cap-color,k,1279
cap-color,b,1230
cap-color,l,828
does-bruise-or-bleed,f,50479
does-bruise-or-bleed,t,10590
gill-attachment,a,12698
gill-attachment,d,10247
gill-attachment,,9884
gill-attachment,x,7413
gill-attachment,p,6001
gill-attachment,e,5648
gill-attachment,s,5648
gill-attachment,f,3530
gill-spacing,,25063
gill-spacing,c,24710
gill-spacing,d,7766
gill-spacing,f,3530
gill-color,w,18521
gill-color,n,9645
gill-color,y,9546
gill-color,p,5983
gill-color,g,4118
gill-color,f,3530
gill-color,o,2909
gill-color,k,2375
gill-color,r,1399
gill-color,e,1066
gill-color,u,1023
gill-color,b,954
stem-root,,51538
stem-root,s,3177
stem-root,b,3177
stem-root,r,1412
stem-root,f,1059
stem-root,c,706
stem-surface,,38124
stem-surface,s,6025
stem-surface,y,4940
stem-surface,i,4396
stem-surface,t,2644
stem-surface,g,1765
stem-surface,k,1581
stem-surface,f,1059
stem-surface,h,535
stem-color,w,22926
stem-color,n,18063
stem-color,y,7865
stem-color,g,2626
stem-color,o,2187
stem-color,e,2050
stem-color,u,1490
stem-color,f,1059
stem-color,p,1025
stem-color,k,837
stem-color,r,542
stem-color,l,226
stem-color,b,173
veil-type,,57892
veil-type,u,3177
veil-color,,53656
veil-color,w,5474
veil-color,y,527
veil-color,n,525
veil-color,u,353
veil-color,k,353
veil-color,e,181
has-ring,f,45890
has-ring,t,15179
ring-type,f,48361
ring-type,,2471
ring-type,e,2435
ring-type,z,2118
ring-type,l,1427
ring-type,r,1399
ring-type,p,1265
ring-type,g,1240
ring-type,m,353
spore-print-color,,54715
spore-print-color,k,2118
spore-print-color,p,1259
spore-print-color,w,1212
spore-print-color,n,1059
spore-print-color,g,353
spore-print-color,u,182
spore-print-color,r,171
habitat,d,44209
habitat,g,7943
habitat,l,3168
habitat,m,2920
habitat,h,2001
habitat,p,360
habitat,w,353
habitat,u,115
season,a,30177
season,u,22898
season,w,5267
season,s,2727
